,X,Y
0,5236,3375
1,5236,3376
2,5236,3377
3,5237,3373
4,5237,3374
5,5237,3375
6,5237,3376
7,5237,3377
8,5237,3378
9,5237,3379
10,5237,3380
11,5237,3381
12,5238,3372
13,5238,3373
14,5238,3374
15,5238,3375
16,5238,3376
17,5238,3377
18,5238,3378
19,5238,3379
20,5238,3380
21,5238,3381
22,5238,3382
23,5239,3372
24,5239,3373
25,5239,3374
26,5239,3375
27,5239,3376
28,5239,3377
29,5239,3378
30,5239,3379
31,5239,3380
32,5239,3381
33,5239,3382
34,5239,3383
35,5239,3384
36,5240,3373
37,5240,3374
38,5240,3375
39,5240,3376
40,5240,3377
41,5240,3378
42,5240,3379
43,5240,3380
44,5240,3381
45,5240,3382
46,5240,3383
47,5240,3384
48,5240,3385
49,5240,3386
50,5240,3398
51,5240,3399
52,5240,3400
53,5241,3373
54,5241,3374
55,5241,3375
56,5241,3376
57,5241,3377
58,5241,3378
59,5241,3379
60,5241,3380
61,5241,3381
62,5241,3382
63,5241,3383
64,5241,3384
65,5241,3385
66,5241,3386
67,5241,3387
68,5241,3397
69,5241,3398
70,5241,3399
71,5241,3400
72,5242,3374
73,5242,3375
74,5242,3376
75,5242,3377
76,5242,3378
77,5242,3379
78,5242,3380
79,5242,3381
80,5242,3382
81,5242,3383
82,5242,3384
83,5242,3385
84,5242,3386
85,5242,3387
86,5242,3388
87,5243,3374
88,5243,3375
89,5243,3376
90,5243,3377
91,5243,3378
92,5243,3379
93,5243,3380
94,5243,3381
95,5243,3382
96,5243,3383
97,5243,3384
98,5243,3385
99,5243,3386
100,5243,3387
101,5243,3388
102,5243,3389
103,5244,3375
104,5244,3376
105,5244,3377
106,5244,3378
107,5244,3379
108,5244,3380
109,5244,3381
110,5244,3382
111,5244,3383
112,5244,3384
113,5244,3385
114,5244,3386
115,5244,3387
116,5244,3388
117,5244,3389
118,5244,3390
119,5245,3375
120,5245,3376
121,5245,3377
122,5245,3378
123,5245,3379
124,5245,3380
125,5245,3381
126,5245,3382
127,5245,3383
128,5245,3384
129,5245,3385
130,5245,3386
131,5245,3387
132,5245,3388
133,5245,3389
134,5245,3390
135,5245,3391
136,5245,3392
137,5246,3375
138,5246,3376
139,5246,3377
140,5246,3378
141,5246,3380
142,5246,3381
143,5246,3382
144,5246,3383
145,5246,3384
146,5246,3385
147,5246,3386
148,5246,3387
149,5246,3388
150,5246,3389
151,5246,3390
152,5246,3391
153,5246,3392
154,5247,3381
155,5247,3382
156,5247,3383
157,5247,3384
158,5247,3385
159,5247,3386
160,5247,3387
161,5247,3388
162,5247,3389
163,5247,3390
164,5247,3391
165,5247,3392
166,5247,3393
167,5248,3381
168,5248,3382
169,5248,3383
170,5248,3384
171,5248,3385
172,5248,3386
173,5248,3387
174,5248,3388
175,5248,3389
176,5248,3390
177,5248,3391
178,5248,3392
179,5248,3393
180,5248,3394
181,5248,3395
182,5248,3396
183,5248,3397
184,5248,3398
185,5248,3399
186,5248,3400
187,5248,3401
188,5248,3402
189,5249,3382
190,5249,3383
191,5249,3384
192,5249,3385
193,5249,3386
194,5249,3387
195,5249,3388
196,5249,3389
197,5249,3390
198,5249,3391
199,5249,3392
200,5249,3393
201,5249,3394
202,5249,3395
203,5249,3396
204,5249,3397
205,5249,3398
206,5249,3399
207,5249,3400
208,5249,3401
209,5249,3402
210,5249,3403
211,5250,3383
212,5250,3385
213,5250,3386
214,5250,3387
215,5250,3388
216,5250,3389
217,5250,3390
218,5250,3391
219,5250,3392
220,5250,3393
221,5250,3394
222,5250,3395
223,5250,3396
224,5250,3397
225,5250,3398
226,5250,3399
227,5250,3400
228,5250,3401
229,5250,3402
230,5251,3385
231,5251,3386
232,5251,3387
233,5251,3388
234,5251,3389
235,5251,3390
236,5251,3391
237,5251,3392
238,5251,3393
239,5251,3394
240,5251,3395
241,5251,3396
242,5251,3397
243,5251,3398
244,5251,3399
245,5251,3400
246,5251,3401
247,5251,3402
248,5252,3385
249,5252,3386
250,5252,3387
251,5252,3388
252,5252,3389
253,5252,3390
254,5252,3391
255,5252,3392
256,5252,3393
257,5252,3394
258,5252,3395
259,5252,3396
260,5252,3397
261,5252,3398
262,5252,3399
263,5252,3400
264,5252,3401
265,5252,3402
266,5252,3406
267,5252,3407
268,5252,3408
269,5252,3409
270,5253,3385
271,5253,3386
272,5253,3387
273,5253,3388
274,5253,3389
275,5253,3390
276,5253,3391
277,5253,3392
278,5253,3393
279,5253,3394
280,5253,3395
281,5253,3396
282,5253,3397
283,5253,3398
284,5253,3399
285,5253,3400
286,5253,3401
287,5253,3402
288,5253,3403
289,5253,3404
290,5253,3405
291,5253,3406
292,5253,3407
293,5253,3408
294,5253,3409
295,5253,3410
296,5254,3385
297,5254,3386
298,5254,3387
299,5254,3388
300,5254,3389
301,5254,3390
302,5254,3391
303,5254,3392
304,5254,3393
305,5254,3394
306,5254,3395
307,5254,3396
308,5254,3397
309,5254,3398
310,5254,3399
311,5254,3400
312,5254,3401
313,5254,3402
314,5254,3403
315,5254,3404
316,5254,3405
317,5254,3406
318,5254,3407
319,5254,3408
320,5254,3409
321,5254,3410
322,5255,3385
323,5255,3386
324,5255,3387
325,5255,3388
326,5255,3389
327,5255,3390
328,5255,3391
329,5255,3392
330,5255,3393
331,5255,3394
332,5255,3395
333,5255,3396
334,5255,3397
335,5255,3398
336,5255,3399
337,5255,3400
338,5255,3401
339,5255,3402
340,5255,3403
341,5255,3404
342,5255,3405
343,5255,3406
344,5255,3407
345,5255,3408
346,5255,3409
347,5255,3410
