,X,Y
0,1305,826
1,1305,827
2,1306,826
3,1306,827
4,1306,828
5,1307,826
6,1307,827
7,1307,828
8,1307,829
9,1308,827
10,1308,828
11,1308,829
12,1308,830
13,1308,831
14,1309,827
15,1309,828
16,1309,829
17,1309,830
18,1309,831
19,1309,832
20,1310,827
21,1310,828
22,1310,829
23,1310,830
24,1310,831
25,1310,832
26,1310,833
27,1310,834
28,1310,835
29,1311,826
30,1311,827
31,1311,828
32,1311,829
33,1311,830
34,1311,831
35,1311,832
36,1311,833
37,1311,834
38,1311,835
39,1312,826
40,1312,827
41,1312,828
42,1312,829
43,1312,830
44,1312,831
45,1312,832
46,1312,833
47,1312,834
48,1312,835
49,1312,836
50,1313,826
51,1313,827
52,1313,828
53,1313,829
54,1313,830
55,1313,831
56,1313,832
57,1313,833
58,1313,834
59,1313,835
60,1313,836
61,1314,827
62,1314,828
63,1314,829
64,1314,830
65,1314,831
66,1314,832
67,1314,833
68,1314,834
69,1314,835
70,1314,836
71,1314,837
72,1315,829
73,1315,830
74,1315,831
75,1315,832
76,1315,833
77,1315,834
78,1315,835
79,1315,836
80,1315,837
81,1316,830
82,1316,831
83,1316,832
84,1316,833
85,1316,836
86,1316,837
