,X,Y
0,1295,830
1,1295,831
2,1295,832
3,1295,833
4,1295,834
5,1295,835
6,1295,836
7,1295,837
8,1295,838
9,1296,827
10,1296,828
11,1296,829
12,1296,830
13,1296,831
14,1296,832
15,1296,833
16,1296,834
17,1296,835
18,1296,836
19,1296,837
20,1296,838
21,1297,825
22,1297,826
23,1297,827
24,1297,828
25,1297,829
26,1297,830
27,1297,831
28,1297,832
29,1297,833
30,1297,834
31,1297,835
32,1297,836
33,1297,837
34,1297,838
35,1297,839
36,1297,840
37,1297,841
38,1297,842
39,1298,824
40,1298,825
41,1298,826
42,1298,827
43,1298,828
44,1298,829
45,1298,830
46,1298,831
47,1298,832
48,1298,833
49,1298,834
50,1298,835
51,1298,836
52,1298,837
53,1298,838
54,1298,839
55,1298,840
56,1298,841
57,1298,842
58,1298,843
59,1299,825
60,1299,826
61,1299,827
62,1299,828
63,1299,829
64,1299,830
65,1299,831
66,1299,832
67,1299,833
68,1299,834
69,1299,835
70,1299,836
71,1299,837
72,1299,838
73,1299,839
74,1299,840
75,1299,841
76,1299,842
77,1299,843
78,1299,844
79,1299,845
80,1300,825
81,1300,826
82,1300,827
83,1300,828
84,1300,829
85,1300,830
86,1300,831
87,1300,832
88,1300,833
89,1300,834
90,1300,835
91,1300,836
92,1300,837
93,1300,838
94,1300,839
95,1300,840
96,1300,841
97,1300,842
98,1300,843
99,1300,844
100,1300,845
101,1301,825
102,1301,826
103,1301,827
104,1301,828
105,1301,829
106,1301,830
107,1301,831
108,1301,832
109,1301,833
110,1301,834
111,1301,835
112,1301,836
113,1301,837
114,1301,838
115,1301,839
116,1301,840
117,1301,841
118,1301,842
119,1301,843
120,1301,844
121,1302,825
122,1302,826
123,1302,827
124,1302,828
125,1302,829
126,1302,830
127,1302,831
128,1302,832
129,1302,833
130,1302,834
131,1302,835
132,1302,836
133,1302,837
134,1302,838
135,1302,839
136,1302,840
137,1302,841
138,1302,842
139,1302,843
140,1302,844
141,1303,825
142,1303,826
143,1303,827
144,1303,828
145,1303,829
146,1303,830
147,1303,831
148,1303,832
149,1303,833
150,1303,834
151,1303,835
152,1303,836
153,1303,837
154,1303,838
155,1303,839
156,1303,840
157,1303,841
158,1303,842
159,1304,825
160,1304,826
161,1304,827
162,1304,828
163,1304,829
164,1304,830
165,1304,831
166,1304,832
167,1304,833
168,1304,834
169,1304,835
170,1304,836
171,1304,837
172,1304,838
173,1304,839
174,1304,840
175,1304,841
176,1304,842
177,1304,843
178,1304,844
179,1305,826
180,1305,827
181,1305,828
182,1305,829
183,1305,830
184,1305,831
185,1305,832
186,1305,833
187,1305,834
188,1305,835
189,1305,836
190,1305,837
191,1305,838
192,1305,839
193,1305,840
194,1305,841
195,1305,842
196,1305,843
197,1305,844
198,1306,827
199,1306,828
200,1306,829
201,1306,830
202,1306,831
203,1306,832
204,1306,833
205,1306,834
206,1306,835
207,1306,836
208,1306,837
209,1306,838
210,1306,839
211,1306,840
212,1306,841
213,1306,842
214,1306,843
215,1306,844
216,1307,828
217,1307,829
218,1307,830
219,1307,831
220,1307,832
221,1307,833
222,1307,834
223,1307,835
224,1307,836
225,1307,837
226,1307,838
227,1307,839
228,1307,840
229,1307,841
230,1307,842
231,1307,843
232,1307,844
233,1308,829
234,1308,830
235,1308,831
236,1308,832
237,1308,833
238,1308,834
239,1308,835
240,1308,836
241,1308,837
242,1308,838
243,1308,839
244,1308,840
245,1308,841
246,1308,842
247,1308,843
248,1309,831
249,1309,832
250,1309,833
251,1309,834
252,1309,835
253,1309,836
254,1309,838
255,1309,839
256,1309,840
257,1309,841
258,1309,842
259,1309,843
260,1310,832
261,1310,833
262,1310,834
263,1310,835
264,1310,836
265,1310,840
266,1310,841
267,1310,842
268,1310,843
269,1311,834
270,1311,840
271,1311,841
272,1311,842
273,1311,843
